ID,NAME,PARTY,TEL,ADDR
1,大阪商店,大阪,063-6512-8555,大阪
2,福岡商店,福岡,063-6512-8542,福岡
3,杉町商店,杉町,063-6512-8542,東京
4,岡島商店,岡島,063-6512-8542,東京
5,中川商店,中川,063-6512-8542,奈良
6,久世服商店,久世服,063-6512-8542,富山
7,○亀商店,○亀,063-6512-8542,香川
8,大畔商店,大畔,063-6512-8542,北海道
9,宮島商店,宮島,063-6512-8542,広島
10,秋田商店,秋田,063-6512-8542,秋田
11,高松商店,高松,063-6512-8542,香川
12,閑谷商店,閑谷,063-6512-8542,岡山
13,冨澤商店,冨澤,063-6512-8542,茨城
14,深町商店,深町,063-6512-8542,兵庫
15,深江商店,深江,063-6512-8542,大阪
16,飛鳥商店,飛鳥,063-6512-8542,奈良
17,鹿児島商店,鹿児島,063-6512-8542,鹿児島
18,岸辺商店,岸辺,063-6512-8542,静岡
19,戸倉商店,戸倉,063-6512-8542,神奈川
